indice_tiempo,alcance_nombre,alcance_tipo,sup_sembrada_algodon,sup_cosechada_algodon,prod_algodon
2012-12-31,MISIONES,PROVINCIA,0,0,0
2013-12-31,MISIONES,PROVINCIA,0,0,0
2014-12-31,MISIONES,PROVINCIA,0,0,0
2015-12-31,MISIONES,PROVINCIA,0,0,0
2016-12-31,MISIONES,PROVINCIA,0,0,0
1990-12-31,SALTA,PROVINCIA,0,0,0
1991-12-31,SALTA,PROVINCIA,0,0,0
1992-12-31,SALTA,PROVINCIA,0,0,0
1993-12-31,SALTA,PROVINCIA,9000,7600,15150
1994-12-31,SALTA,PROVINCIA,12000,12000,25500
1995-12-31,SALTA,PROVINCIA,29000,29000,65100
1996-12-31,SALTA,PROVINCIA,41000,38000,44900
1997-12-31,SALTA,PROVINCIA,40000,36500,67170
1998-12-31,SALTA,PROVINCIA,45000,40700,45150
1999-12-31,SALTA,PROVINCIA,28500,26300,26310
2000-12-31,SALTA,PROVINCIA,2000,2000,3460
2001-12-31,SALTA,PROVINCIA,2400,2400,6000
2002-12-31,SALTA,PROVINCIA,1400,1400,2800
2003-12-31,SALTA,PROVINCIA,1000,1000,3800
2004-12-31,SALTA,PROVINCIA,2200,2200,11000
2005-12-31,SALTA,PROVINCIA,2850,2823,11860
2006-12-31,SALTA,PROVINCIA,3350,3325,13965
2007-12-31,SALTA,PROVINCIA,6200,6200,20646
2008-12-31,SALTA,PROVINCIA,8500,8500,22100
2009-12-31,SALTA,PROVINCIA,8100,8100,24300
2010-12-31,SALTA,PROVINCIA,6240,6240,13728
2011-12-31,SALTA,PROVINCIA,9280,9280,23650
2012-12-31,SALTA,PROVINCIA,10336,10336,27390
2013-12-31,SALTA,PROVINCIA,3000,3000,9600
2014-12-31,SALTA,PROVINCIA,9000,9000,27000
2015-12-31,SALTA,PROVINCIA,9800,9800,30380
2016-12-31,SALTA,PROVINCIA,15340,15340,37276
2017-12-31,SALTA,PROVINCIA,14930,14930,23982
1990-12-31,TUCUMAN,PROVINCIA,0,0,0
1991-12-31,TUCUMAN,PROVINCIA,5200,4600,8500
1992-12-31,TUCUMAN,PROVINCIA,7500,5400,6140
1993-12-31,TUCUMAN,PROVINCIA,5000,4250,4300
1994-12-31,TUCUMAN,PROVINCIA,3800,2000,1600
1995-12-31,TUCUMAN,PROVINCIA,1200,480,400
1996-12-31,TUCUMAN,PROVINCIA,750,50,45
1997-12-31,TUCUMAN,PROVINCIA,1060,640,576
1998-12-31,TUCUMAN,PROVINCIA,850,550,598
1999-12-31,TUCUMAN,PROVINCIA,30,0,0
2000-12-31,TUCUMAN,PROVINCIA,0,0,0
2001-12-31,TUCUMAN,PROVINCIA,0,0,0
2002-12-31,TUCUMAN,PROVINCIA,0,0,0
2003-12-31,TUCUMAN,PROVINCIA,0,0,0
2004-12-31,TUCUMAN,PROVINCIA,0,0,0
2005-12-31,TUCUMAN,PROVINCIA,0,0,0
2006-12-31,TUCUMAN,PROVINCIA,0,0,0
2007-12-31,TUCUMAN,PROVINCIA,0,0,0
2008-12-31,TUCUMAN,PROVINCIA,0,0,0
2009-12-31,TUCUMAN,PROVINCIA,0,0,0
