distribution_identifier,indice_tiempo,frec_temporal,alcance_tipo,alcance_id,alcance_nombre,sup_sembrada_algodon,sup_cosechada_algodon,prod_algodon,vbp_k_2004_textil_productos,vbp_k_2004_textil_confecciones,vbp_c_textil_productos,vbp_c_textil_confecciones,vab_k_2004_textil_productos,vab_k_2004_textil_confecciones,vab_c_textil_productos,vab_c_textil_confecciones,vab_ivf_textil_productos,vab_ivf_textil_confecciones,vab_ipi_textil_productos,vab_ipi_textil_confecciones,empleo_textil_productos,empleo_textil_confecciones,empresas_textil_productos,empresas_textil_confecciones,remuneracion_textil_productos,remuneracion_textil_confecciones,precio_fibra_algodon_c1/2,precio_indice_a
28.1,1990-12-31,anual,PAIS,200,Argentina,553100,544900,922950,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PAIS,200,Argentina,638800,538500,789400,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PAIS,200,Argentina,614900,529100,651960,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PAIS,200,Argentina,377747,302027,430588,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PAIS,200,Argentina,503610,483920,705880,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PAIS,200,Argentina,761500,679658,1125147,,,,,,,,,,,,,,,,,687.221579,565.793126,,
28.1,1996-12-31,anual,PAIS,200,Argentina,1009800,969390,1346940,,,,,,,,,,,,,53349.5,35484.5,2585,2908,708.105728,561.304192,,
28.1,1997-12-31,anual,PAIS,200,Argentina,955560,887140,1029866,,,,,,,,,,,,,55573.25,36350.75,2622,2860,711.004229,567.720298,,
28.1,1998-12-31,anual,PAIS,200,Argentina,1133150,877530,986230,,,,,,,,,,,,,55573.5,36993,2606,2814,714.077396,578.977042,,
28.1,1999-12-31,anual,PAIS,200,Argentina,750930,639690,617542,,,,,,,,,,,,,50390,34114.25,2459,2659,708.27784,577.838494,,
28.1,2000-12-31,anual,PAIS,200,Argentina,345950,332090,417680,,,,,,,,,,,,,46783.5,32382.25,2359,2600,701.717607,571.850426,,
28.1,2001-12-31,anual,PAIS,200,Argentina,410905,388153,509405,,,,,,,,,,,,,44187.75,30324.25,2178,2340,679.395652,555.977889,,
28.1,2002-12-31,anual,PAIS,200,Argentina,174043,164731,218159,,,,,,,,,,,,,39072.5,24613.75,2023,2118,700.233902,564.685039,,
28.1,2003-12-31,anual,PAIS,200,Argentina,158209,145723,201506,,,,,,,,,,,,,45060.5,27899.25,2223,2506,884.583062,695.787627,,
28.1,2004-12-31,anual,PAIS,200,Argentina,266387,254913,353799,7776.774351,7327.722689,7776.774351,7327.722689,2690.851406,3778.67606,2690.851406,3778.67606,100,100,100,100,51858,33814,2458,2929,1103.289362,852.064961,,
28.1,2005-12-31,anual,PAIS,200,Argentina,406421,374700,448315,8737.841343,8972.825191,8448.838446,9688.297412,3070.686702,4622.191704,2968.741658,4988.01592,114.1158035,122.3230473,96.68005714,107.9145185,57237.75,38592.5,2605,3171,1299.920812,1026.00918,,
28.1,2006-12-31,anual,PAIS,200,Argentina,309094,304397,417770,8993.660585,9160.904447,9440.518354,10851.7067,3180.192085,4714.92931,3354.58101,5588.039704,118.1853475,124.7772827,105.4835972,118.5179954,62430.25,43676.25,2843,3610,1572.550438,1231.59622,,
28.1,2007-12-31,anual,PAIS,200,Argentina,403638,393005,545382,9895.852107,9604.591867,11232.34638,12610.32937,3454.851512,4939.140623,3912.141642,6492.546118,128.3925044,130.7108771,113.2361732,131.4509267,65759,47416.5,2951,3798,1872.722679,1466.682378,,
28.1,2008-12-31,anual,PAIS,200,Argentina,307259,300227,489633,9030.585762,9941.224738,11722.4513,15378.57955,3160.041802,5110.619385,4078.420515,7916.955186,117.4365033,135.2489418,129.0622331,154.9118529,66931.25,49595,2992,3909,2297.355595,1895.733631,,
28.1,2009-12-31,anual,PAIS,200,Argentina,297292,288117,386676,8506.356422,9671.337485,11667.65142,16633.80345,2990.780558,4968.289045,4104.452906,8556.654045,111.1462547,131.4822696,137.2368459,172.2253671,63456.5,47591.75,2960,3830,2702.201211,2249.985109,,
28.1,2010-12-31,anual,PAIS,200,Argentina,489410,440872,753503,10260.10458,10788.58321,16670.63827,21807.44485,3585.839102,5551.501357,5809.8263,11235.42934,133.2603909,146.9165726,162.0213884,202.3854201,65271,48542.75,2958,3760,3478.55096,3011.627483,,
28.1,2011-12-31,anual,PAIS,200,Argentina,640765,623399,1032545,10646.08357,11930.36328,22657.93751,30860.05308,3733.315581,6132.583488,7882.708103,15893.63546,138.7410532,162.2945018,211.1449711,259.1670458,66253.25,49409.75,3028,3749,4593.551168,4161.792722,,
28.1,2012-12-31,anual,PAIS,200,Argentina,622146,528221,708650,9644.517835,11027.7381,24516.11274,35203.23225,3397.423725,5660.576491,8623.719845,18090.64337,126.258318,149.8031692,253.8311539,319.5901229,69116.75,48676.5,3022,3677,6191.921212,5408.205254,,
28.1,2013-12-31,anual,PAIS,200,Argentina,410650,361455,543008,9297.319894,11331.25892,29783.33102,45636.73198,3257.76867,5815.098299,10458.88212,23476.54326,121.0683229,153.89248,321.0443458,403.7170492,69687.75,47906.25,3017,3613,7983.744853,6800.688556,,
28.1,2014-12-31,anual,PAIS,200,Argentina,552246,512821,1019654,9767.755834,9985.153572,44477.37146,56435.77235,3410.932138,5127.03491,15515.03213,28994.88847,126.7603306,135.6833671,454.8619409,565.5293747,67959.75,47071,2977,3592,10415.34732,9163.29425,,
28.1,2015-12-31,anual,PAIS,200,Argentina,523680,455945,795345,9585.461762,10419.35136,56154.20033,77197.68744,3361.581482,5356.169654,19755.1761,39700.15436,124.9263142,141.7472567,587.6750634,741.2041986,68069.75,47995.5,3002,3645,13420.17852,11656.52373,,
28.1,2016-12-31,anual,PAIS,200,Argentina,406130,376780,673145,8622.811811,9199.351395,69568.00841,92704.93213,3005.812574,4732.128071,24169.0009,47456.91088,111.7048889,125.2324358,804.0754473,1002.866156,67594.25,47287,,,17377.14597,15742.49202,,
28.1,2017-12-31,anual,PAIS,200,Argentina,253310,241635,616158,8069.225047,8680.675844,79334.08496,102581.1348,2804.447379,4463.541421,27609.44435,52595.26671,104.2215625,118.1244793,984.487873,1178.330428,,,,,,,,
28.1,1990-12-31,anual,PROVINCIA,18,CORRIENTES,24000,21500,34150,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PROVINCIA,18,CORRIENTES,9600,9500,14290,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PROVINCIA,18,CORRIENTES,12900,11900,17965,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PROVINCIA,18,CORRIENTES,10797,10727,11403,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PROVINCIA,18,CORRIENTES,11110,7820,6540,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PROVINCIA,18,CORRIENTES,15510,13860,17962,,,,,,,,,,,,,,,,,646.4442159,719.0942385,,
28.1,1996-12-31,anual,PROVINCIA,18,CORRIENTES,18000,14280,15780,,,,,,,,,,,,,,,21,13,709.0308304,756.0553969,,
28.1,1997-12-31,anual,PROVINCIA,18,CORRIENTES,16400,14900,16100,,,,,,,,,,,,,,,18,13,695.4450615,729.6781333,,
28.1,1998-12-31,anual,PROVINCIA,18,CORRIENTES,18000,8000,5903,,,,,,,,,,,,,,,18,15,584.0564204,703.3248538,,
28.1,1999-12-31,anual,PROVINCIA,18,CORRIENTES,16000,16000,19145,,,,,,,,,,,,,,,16,16,550.2121579,692.4021614,,
28.1,2000-12-31,anual,PROVINCIA,18,CORRIENTES,6000,5300,5400,,,,,,,,,,,,,,,14,14,673.5747638,652.9372475,,
28.1,2001-12-31,anual,PROVINCIA,18,CORRIENTES,6615,5263,5754,,,,,,,,,,,,,,,11,15,661.2275789,590.3626429,,
28.1,2002-12-31,anual,PROVINCIA,18,CORRIENTES,4455,2972,2644,,,,,,,,,,,,,,,9,13,712.9684074,585.4197866,,
28.1,2003-12-31,anual,PROVINCIA,18,CORRIENTES,4349,1909,2017,,,,,,,,,,,,,,,10,13,816.9810739,814.5088356,,
28.1,2004-12-31,anual,PROVINCIA,18,CORRIENTES,5348,4544,3925,,,,,,,,,,,,,,,9,11,1095.322361,1262.845736,,
28.1,2005-12-31,anual,PROVINCIA,18,CORRIENTES,7291,5742,5225,,,,,,,,,,,,,,,9,13,1311.11286,1525.538689,,
28.1,2006-12-31,anual,PROVINCIA,18,CORRIENTES,4519,4347,5463,,,,,,,,,,,,,,,12,13,1609.679036,1904.350036,,
28.1,2007-12-31,anual,PROVINCIA,18,CORRIENTES,4433,4375,5387,,,,,,,,,,,,,,,12,12,1888.540305,2204.323318,,
28.1,2008-12-31,anual,PROVINCIA,18,CORRIENTES,1327,1242,1314,,,,,,,,,,,,,,,9,15,2287.959863,2527.915847,,
28.1,2009-12-31,anual,PROVINCIA,18,CORRIENTES,1177,832,647,,,,,,,,,,,,,,,9,19,2563.441397,2894.464691,,
28.1,2010-12-31,anual,PROVINCIA,18,CORRIENTES,1390,1237,1247,,,,,,,,,,,,,,,9,19,3101.655288,3265.767934,,
28.1,2011-12-31,anual,PROVINCIA,18,CORRIENTES,1290,1234,1255,,,,,,,,,,,,,,,12,21,4607.170834,4029.267459,,
28.1,2012-12-31,anual,PROVINCIA,18,CORRIENTES,900,900,900,,,,,,,,,,,,,,,13,20,6447.953106,4346.341758,,
28.1,2013-12-31,anual,PROVINCIA,18,CORRIENTES,455,445,668,,,,,,,,,,,,,,,13,19,8353.671683,6029.215664,,
28.1,2014-12-31,anual,PROVINCIA,18,CORRIENTES,480,300,840,,,,,,,,,,,,,,,11,16,10767.34171,7150.722351,,
28.1,2015-12-31,anual,PROVINCIA,18,CORRIENTES,530,530,1060,,,,,,,,,,,,,,,11,15,13828.80371,8833.303299,,
28.1,2016-12-31,anual,PROVINCIA,18,CORRIENTES,900,900,1350,,,,,,,,,,,,,,,,,17451.3902,12628.13741,,
28.1,2017-12-31,anual,PROVINCIA,18,CORRIENTES,900,900,1350,,,,,,,,,,,,,,,,,,,,
28.1,1990-12-31,anual,PROVINCIA,30,ENTRE RIOS,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PROVINCIA,30,ENTRE RIOS,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PROVINCIA,30,ENTRE RIOS,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PROVINCIA,30,ENTRE RIOS,800,800,1200,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PROVINCIA,30,ENTRE RIOS,1000,900,1100,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PROVINCIA,30,ENTRE RIOS,2000,1910,2900,,,,,,,,,,,,,,,,,439.1867051,334.1700933,,
28.1,1996-12-31,anual,PROVINCIA,30,ENTRE RIOS,4800,2900,3190,,,,,,,,,,,,,,,18,24,446.7801158,413.4013625,,
28.1,1997-12-31,anual,PROVINCIA,30,ENTRE RIOS,2000,2000,3000,,,,,,,,,,,,,,,20,27,442.4540127,440.5419005,,
28.1,1998-12-31,anual,PROVINCIA,30,ENTRE RIOS,2600,1200,960,,,,,,,,,,,,,,,18,21,484.6923954,508.948896,,
28.1,1999-12-31,anual,PROVINCIA,30,ENTRE RIOS,1450,1450,1400,,,,,,,,,,,,,,,20,30,453.0754999,459.1407543,,
28.1,2000-12-31,anual,PROVINCIA,30,ENTRE RIOS,600,490,392,,,,,,,,,,,,,,,19,23,502.2647146,419.0778633,,
28.1,2001-12-31,anual,PROVINCIA,30,ENTRE RIOS,600,600,720,,,,,,,,,,,,,,,14,19,488.753264,419.9603679,,
28.1,2002-12-31,anual,PROVINCIA,30,ENTRE RIOS,230,230,230,,,,,,,,,,,,,,,14,16,531.2827669,394.2706417,,
28.1,2003-12-31,anual,PROVINCIA,30,ENTRE RIOS,160,120,152,,,,,,,,,,,,,,,17,17,744.7674562,458.9406584,,
28.1,2004-12-31,anual,PROVINCIA,30,ENTRE RIOS,310,310,372,,,,,,,,,,,,,,,19,13,854.5476878,561.8274733,,
28.1,2005-12-31,anual,PROVINCIA,30,ENTRE RIOS,410,410,480,,,,,,,,,,,,,,,22,17,1084.95383,680.2510632,,
28.1,2006-12-31,anual,PROVINCIA,30,ENTRE RIOS,380,380,442,,,,,,,,,,,,,,,20,20,1323.315923,862.7395066,,
28.1,2007-12-31,anual,PROVINCIA,30,ENTRE RIOS,300,300,300,,,,,,,,,,,,,,,21,20,1569.119184,1077.568584,,
28.1,2008-12-31,anual,PROVINCIA,30,ENTRE RIOS,380,380,442,,,,,,,,,,,,,,,26,22,1932.630861,1323.914017,,
28.1,2009-12-31,anual,PROVINCIA,30,ENTRE RIOS,380,380,442,,,,,,,,,,,,,,,24,26,2328.091545,1610.479456,,
28.1,2010-12-31,anual,PROVINCIA,30,ENTRE RIOS,200,200,200,,,,,,,,,,,,,,,23,21,2888.042855,2113.146272,,
28.1,2011-12-31,anual,PROVINCIA,30,ENTRE RIOS,250,100,120,,,,,,,,,,,,,,,22,23,3823.83207,2642.614868,,
28.1,2012-12-31,anual,PROVINCIA,30,ENTRE RIOS,780,780,1654,,,,,,,,,,,,,,,24,26,5221.492553,3679.215071,,
28.1,2013-12-31,anual,PROVINCIA,30,ENTRE RIOS,850,850,1190,,,,,,,,,,,,,,,24,24,6540.214189,4894.950004,,
28.1,2014-12-31,anual,PROVINCIA,30,ENTRE RIOS,1050,1050,1525,,,,,,,,,,,,,,,23,20,8295.978304,6200.25072,,
28.1,2015-12-31,anual,PROVINCIA,30,ENTRE RIOS,1100,1100,1770,,,,,,,,,,,,,,,21,20,10499.12725,8232.971571,,
28.1,2016-12-31,anual,PROVINCIA,30,ENTRE RIOS,1300,900,810,,,,,,,,,,,,,,,,,13663.19976,10589.06933,,
28.1,2017-12-31,anual,PROVINCIA,30,ENTRE RIOS,1400,1400,2040,,,,,,,,,,,,,,,,,,,,
28.1,1990-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PROVINCIA,38,JUJUY,3500,700,1280,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PROVINCIA,38,JUJUY,1300,1300,3400,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PROVINCIA,38,JUJUY,2800,2800,6000,,,,,,,,,,,,,,,,,,414.1132115,,
28.1,1996-12-31,anual,PROVINCIA,38,JUJUY,1500,600,1040,,,,,,,,,,,,,,,,6,,439.1330973,,
28.1,1997-12-31,anual,PROVINCIA,38,JUJUY,1100,1100,2200,,,,,,,,,,,,,,,,6,,443.147057,,
28.1,1998-12-31,anual,PROVINCIA,38,JUJUY,1000,1000,1650,,,,,,,,,,,,,,,,6,,442.4447659,,
28.1,1999-12-31,anual,PROVINCIA,38,JUJUY,1000,1000,2000,,,,,,,,,,,,,,,,5,,,,
28.1,2000-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,5,,,,
28.1,2001-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,5,,,,
28.1,2002-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,5,,,,
28.1,2003-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,5,,,,
28.1,2004-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,4,,,,
28.1,2005-12-31,anual,PROVINCIA,38,JUJUY,,,0,,,,,,,,,,,,,,,,5,,,,
28.1,2006-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,6,,925.9193274,,
28.1,2007-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,8,,1078.384552,,
28.1,2008-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,8,,1345.849024,,
28.1,2009-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,10,,1330.13708,,
28.1,2010-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,6,,1959.945221,,
28.1,2011-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,4,6,2069.215079,2953.953279,,
28.1,2012-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,4,,,,
28.1,2013-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,4,,,,
28.1,2014-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,4,,,,,
28.1,2015-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,4,,,,,
28.1,2016-12-31,anual,PROVINCIA,38,JUJUY,,,,,,,,,,,,,,,,,,,,,,,
28.1,1990-12-31,anual,PROVINCIA,54,MISIONES,4400,3700,4100,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PROVINCIA,54,MISIONES,3500,2700,2430,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PROVINCIA,54,MISIONES,2500,800,480,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PROVINCIA,54,MISIONES,1000,300,270,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PROVINCIA,54,MISIONES,400,100,40,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PROVINCIA,54,MISIONES,50,48,45,,,,,,,,,,,,,,,,,402.3204152,328.7651574,,
28.1,1996-12-31,anual,PROVINCIA,54,MISIONES,150,0,0,,,,,,,,,,,,,,,5,9,567.4853777,291.352878,,
28.1,1997-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,6,11,545.1494091,320.9391557,,
28.1,1998-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,8,8,499.0647726,544.7742423,,
28.1,1999-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,8,9,456.7358771,676.3885263,,
28.1,2000-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,7,6,389.5684351,678.0452995,,
28.1,2001-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,4,4,,855.0903614,,
28.1,2002-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,5,4,494.6361797,454.9628113,,
28.1,2003-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,4,4,,540.2144525,,
28.1,2004-12-31,anual,PROVINCIA,54,MISIONES,0,0,0,,,,,,,,,,,,,,,5,,,,,
28.1,2005-12-31,anual,PROVINCIA,54,MISIONES,100,100,80,,,,,,,,,,,,,,,5,,,692.1049453,,
28.1,2006-12-31,anual,PROVINCIA,54,MISIONES,100,100,90,,,,,,,,,,,,,,,7,5,1671.150496,1015.093916,,
28.1,2007-12-31,anual,PROVINCIA,54,MISIONES,115,110,57,,,,,,,,,,,,,,,7,5,2830.565322,1090.667728,,
28.1,2008-12-31,anual,PROVINCIA,54,MISIONES,42,25,25,,,,,,,,,,,,,,,10,6,2523.278506,1421.523594,,
28.1,2009-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,7,7,2189.503177,1762.740045,,
28.1,2010-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,10,10,2734.950617,2260.9912,,
28.1,2011-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,9,7,3452.931817,3331.238226,,
28.1,2012-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,8,6,4205.434985,4625.309728,,
28.1,2013-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,7,7,5091.757336,5002.72578,,
28.1,2014-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,7,6,6751.548371,7725.246198,,
28.1,2015-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,7,6,9235.272935,9367.91402,,
28.1,2016-12-31,anual,PROVINCIA,54,MISIONES,,,,,,,,,,,,,,,,,,,,10520.34637,11446.07248,,
28.1,1990-12-31,anual,PROVINCIA,66,SALTA,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PROVINCIA,66,SALTA,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PROVINCIA,66,SALTA,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PROVINCIA,66,SALTA,9000,7600,15150,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PROVINCIA,66,SALTA,12000,12000,25500,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PROVINCIA,66,SALTA,29000,29000,65100,,,,,,,,,,,,,,,,,356.3969069,407.1216359,,
28.1,1996-12-31,anual,PROVINCIA,66,SALTA,41000,38000,44900,,,,,,,,,,,,,,,7,14,494.8926943,466.7027896,,
28.1,1997-12-31,anual,PROVINCIA,66,SALTA,40000,36500,67170,,,,,,,,,,,,,,,8,9,621.9636061,420.558177,,
28.1,1998-12-31,anual,PROVINCIA,66,SALTA,45000,40700,45150,,,,,,,,,,,,,,,8,11,574.9340086,444.916141,,
28.1,1999-12-31,anual,PROVINCIA,66,SALTA,28500,26300,26310,,,,,,,,,,,,,,,9,16,562.6390192,443.6244521,,
28.1,2000-12-31,anual,PROVINCIA,66,SALTA,2000,2000,3460,,,,,,,,,,,,,,,8,16,575.8364287,450.1452306,,
28.1,2001-12-31,anual,PROVINCIA,66,SALTA,2400,2400,6000,,,,,,,,,,,,,,,7,12,604.7048832,422.2006017,,
28.1,2002-12-31,anual,PROVINCIA,66,SALTA,1400,1400,2800,,,,,,,,,,,,,,,5,7,705.7720771,426.9275964,,
28.1,2003-12-31,anual,PROVINCIA,66,SALTA,1000,1000,3800,,,,,,,,,,,,,,,7,8,824.1343241,486.0513247,,
28.1,2004-12-31,anual,PROVINCIA,66,SALTA,2200,2200,11000,,,,,,,,,,,,,,,6,8,1049.744628,623.0798231,,
28.1,2005-12-31,anual,PROVINCIA,66,SALTA,2850,2823,11860,,,,,,,,,,,,,,,8,9,1065.786387,744.1803833,,
28.1,2006-12-31,anual,PROVINCIA,66,SALTA,3350,3325,13965,,,,,,,,,,,,,,,6,9,1219.087383,988.3764716,,
28.1,2007-12-31,anual,PROVINCIA,66,SALTA,6200,6200,20646,,,,,,,,,,,,,,,8,10,1531.868479,1145.85067,,
28.1,2008-12-31,anual,PROVINCIA,66,SALTA,8500,8500,22100,,,,,,,,,,,,,,,7,14,1874.564481,1232.35066,,
28.1,2009-12-31,anual,PROVINCIA,66,SALTA,8100,8100,24300,,,,,,,,,,,,,,,9,14,1934.357191,1587.010335,,
28.1,2010-12-31,anual,PROVINCIA,66,SALTA,6240,6240,13728,,,,,,,,,,,,,,,8,15,2332.219409,2018.140241,,
28.1,2011-12-31,anual,PROVINCIA,66,SALTA,9280,9280,23650,,,,,,,,,,,,,,,9,17,2922.738288,2751.62547,,
28.1,2012-12-31,anual,PROVINCIA,66,SALTA,10336,10336,27390,,,,,,,,,,,,,,,11,16,5150.454452,3614.926346,,
28.1,2013-12-31,anual,PROVINCIA,66,SALTA,3000,3000,9600,,,,,,,,,,,,,,,9,16,6689.768811,4236.802134,,
28.1,2014-12-31,anual,PROVINCIA,66,SALTA,9000,9000,27000,,,,,,,,,,,,,,,9,15,8272.533772,5756.114923,,
28.1,2015-12-31,anual,PROVINCIA,66,SALTA,9800,9800,30380,,,,,,,,,,,,,,,11,17,10994.73641,7421.140823,,
28.1,2016-12-31,anual,PROVINCIA,66,SALTA,15340,15340,37276,,,,,,,,,,,,,,,,,15281.36018,8948.464823,,
28.1,2017-12-31,anual,PROVINCIA,66,SALTA,14930,14930,23982,,,,,,,,,,,,,,,,,,,,
28.1,1990-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,,,,,,
28.1,1991-12-31,anual,PROVINCIA,90,TUCUMAN,5200,4600,8500,,,,,,,,,,,,,,,,,,,,
28.1,1992-12-31,anual,PROVINCIA,90,TUCUMAN,7500,5400,6140,,,,,,,,,,,,,,,,,,,,
28.1,1993-12-31,anual,PROVINCIA,90,TUCUMAN,5000,4250,4300,,,,,,,,,,,,,,,,,,,,
28.1,1994-12-31,anual,PROVINCIA,90,TUCUMAN,3800,2000,1600,,,,,,,,,,,,,,,,,,,,
28.1,1995-12-31,anual,PROVINCIA,90,TUCUMAN,1200,480,400,,,,,,,,,,,,,,,,,678.51562,371.6868969,,
28.1,1996-12-31,anual,PROVINCIA,90,TUCUMAN,750,50,45,,,,,,,,,,,,,,,14,23,683.5524764,416.2803483,,
28.1,1997-12-31,anual,PROVINCIA,90,TUCUMAN,1060,640,576,,,,,,,,,,,,,,,15,23,653.5735133,503.5997544,,
28.1,1998-12-31,anual,PROVINCIA,90,TUCUMAN,850,550,598,,,,,,,,,,,,,,,18,20,659.1148585,528.7083624,,
28.1,1999-12-31,anual,PROVINCIA,90,TUCUMAN,30,,0,,,,,,,,,,,,,,,21,23,622.8395987,544.8132861,,
28.1,2000-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,22,24,644.1761774,480.4278725,,
28.1,2001-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,18,17,602.5452543,447.4271533,,
28.1,2002-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,14,16,645.6232821,480.3420962,,
28.1,2003-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,15,15,844.6740573,632.5340222,,
28.1,2004-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,13,13,1139.061654,812.2757639,,
28.1,2005-12-31,anual,PROVINCIA,90,TUCUMAN,,,0,,,,,,,,,,,,,,,16,16,1318.916564,888.2093598,,
28.1,2006-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,18,20,1619.734951,1037.455302,,
28.1,2007-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,20,20,1878.460019,1143.799891,,
28.1,2008-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,19,19,2227.173688,1477.604633,,
28.1,2009-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,18,20,2326.070449,1890.398536,,
28.1,2010-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,18,18,3105.659872,2551.742048,,
28.1,2011-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,19,18,4279.361868,3396.788312,,
28.1,2012-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,21,20,5932.015396,4145.564439,,
28.1,2013-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,21,19,7992.826005,5437.029954,,
28.1,2014-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,21,22,10561.66478,6352.524954,,
28.1,2015-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,20,20,13923.53947,8395.322674,,
28.1,2016-12-31,anual,PROVINCIA,90,TUCUMAN,,,,,,,,,,,,,,,,,,,,17790.1221,11719.13589,,
